,Green,NUMBER_OFFERS_SME,SOCIAL_CLAUSE,ENVIRONMENTAL_CLAUSE,ENVIRONMENTAL_CRITERION,ENVIRONMENTAL_WEIGHT,P_CRITERION_WEIGHT,AWARD_PRICE,CAE_LEGAL_STATUS,CAE_REGION,PROCEDURE_TYPE,CPV,FRAMEWORK_AGREEMENT,ADVERTISING,ID_BOAMP_AWARD,ALLOTMENT,MONTH,Division_type,Division,Offers_other,CAE_SIREN,presence,Quarter,Statut
912296,0,0.0,0,0,0,0.0,50.0,13.038981768465277,722,Pays de la Loire,open,'33140000,1,28.0,22-138463,1,2022_October,F,33,1.0,228500013,0,2022Q4,Département
912297,0,0.0,0,0,0,0.0,50.0,12.89921982609012,722,Pays de la Loire,open,'33140000,1,28.0,22-138463,1,2022_October,F,33,1.0,228500013,0,2022Q4,Département
912298,0,3.0,0,0,0,0.0,40.0,11.982929094215963,722,Pays de la Loire,open,'33140000,1,28.0,22-138463,1,2022_October,F,33,2.0,228500013,1,2022Q4,Département
912299,0,1.0,0,0,0,0.0,40.0,12.84792653170257,722,Pays de la Loire,open,'33140000,1,28.0,22-138463,1,2022_October,F,33,1.0,228500013,1,2022Q4,Département
912300,0,1.0,0,0,0,0.0,50.0,11.982929094215963,722,Pays de la Loire,open,'33140000,1,28.0,22-138463,1,2022_October,F,33,1.0,228500013,1,2022Q4,Département
912301,0,0.0,0,0,0,0.0,40.0,12.793859310432293,722,Pays de la Loire,open,'33140000,1,28.0,22-138463,1,2022_October,F,33,1.0,228500013,0,2022Q4,Département
912302,0,1.0,0,0,0,0.0,50.0,11.695247021764184,722,Pays de la Loire,open,'33140000,1,28.0,22-138463,1,2022_October,F,33,0.0,228500013,1,2022Q4,Département
912303,0,0.0,0,0,0,0.0,50.0,11.512925464970229,722,Pays de la Loire,open,'33140000,1,28.0,22-138463,1,2022_October,F,33,1.0,228500013,0,2022Q4,Département
912380,1,1.0,1,1,1,10.0,61.111111111111114,14.765573030422349,722,Pays de la Loire,open,'44212321,1,52.0,23-21782,0,2023_February,F,44,1.0,228500013,1,2023Q1,Département
912445,0,1.0,0,0,0,0.0,100.0,16.607288974597196,734,Pays de la Loire,open,'45223220,0,38.0,23-34405,1,2023_March,T,45,0.0,200071165,1,2023Q1,Interco
912448,0,4.0,0,0,0,0.0,100.0,14.762161324405666,734,Pays de la Loire,open,'45261000,0,38.0,23-34405,1,2023_March,T,45,0.0,200071165,1,2023Q1,Interco
912449,0,1.0,0,0,0,0.0,100.0,15.7874651580777,734,Pays de la Loire,open,'45261000,0,38.0,23-34405,1,2023_March,T,45,0.0,200071165,1,2023Q1,Interco
912450,0,3.0,0,0,0,0.0,100.0,14.551877655728475,734,Pays de la Loire,open,'45421000,0,38.0,23-34405,1,2023_March,T,45,0.0,200071165,1,2023Q1,Interco
912452,0,1.0,0,0,0,0.0,100.0,14.21738522815751,734,Pays de la Loire,open,'45421152,0,38.0,23-34405,1,2023_March,T,45,0.0,200071165,1,2023Q1,Interco
